# % Confidence interval,# Num. of outliers,# Boot decimal covered,# Homo Num. of outliers,# Homo decimal covered,# Heter Num. of outliers,# Heter decimal covered,1:1 in decimals,boot deviation from 1:1,homo deviation from 1:1,heter deviation from 1:1,Ab. Dev. Boot,Ab. Dev. Homo,Absolute deviation heter,
10,110,0.10,110,0.10,108,0.11,0.1,0.00,0.00,0.01,0.00,0.00,0.01,
20,103,0.16,95,0.22,99,0.19,0.2,-0.04,0.02,-0.01,0.04,0.02,0.01,
30,89,0.27,81,0.34,87,0.29,0.3,-0.03,0.04,-0.01,0.03,0.04,0.01,
40,78,0.36,68,0.44,73,0.40,0.4,-0.04,0.04,0.00,0.04,0.04,0.00,
50,61,0.50,54,0.56,68,0.44,0.5,0.00,0.06,-0.06,0.00,0.06,0.06,
60,46,0.62,43,0.65,53,0.57,0.6,0.02,0.05,-0.03,0.02,0.05,0.03,
70,31,0.75,29,0.76,38,0.69,0.7,0.05,0.06,-0.01,0.05,0.06,0.01,
80,21,0.83,20,0.84,21,0.83,0.8,0.03,0.04,0.03,0.03,0.04,0.03,
90,12,0.90,7,0.94,4,0.97,0.9,0.00,0.04,0.07,0.00,0.04,0.07,
92,6,0.95,3,0.98,2,0.98,0.92,0.03,0.06,0.06,0.03,0.06,0.06,
95,5,0.96,0,1.00,0,1.00,0.95,0.01,0.05,0.05,0.01,,,
96,5,0.96,0,1.00,0,1.00,0.96,0.00,0.04,0.04,0.00,,,
97,4,0.97,0,1.00,0,1.00,0.97,0.00,0.03,0.03,0.00,,,
98,2,0.98,0,1.00,0,1.00,0.98,0.00,0.02,0.02,0.00,,,
99,1,0.99,0,1.00,0,1.00,0.99,0.00,0.01,0.01,0.00,,,
100,0,1.00,0,1.00,0,1.00,1,0.00,0.00,0.00,0.00,,,
,,,,,,,,,,,0.02,0.04,0.03,#Average deviation from 1:1 until credible interval reaches 100%. After 100% the interval can no longer be quatntified
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
