# % Confidence interval,# Num. of outliers,# Boot decimal covered,# Homo Num. of outliers,# Homo decimal covered,# Heter Num. of outliers,# Heter decimal covered,1:1 in decimals,boot deviation from 1:1,homo deviation from 1:1,heter deviation from 1:1,Ab. Dev. Boot,Ab. Dev. Homo,Absolute deviation heter,
10,109,0.11,107,0.12,108,0.11,0.1,0.01,0.02,0.01,0.01,0.02,0.01,
20,97,0.2,92,0.25,99,0.19,0.2,0,0.05,-0.01,0,0.05,0.01,
30,86,0.3,80,0.34,86,0.30,0.3,0,0.04,0.00,0,0.04,0.00,
40,75,0.39,69,0.43,73,0.40,0.4,-0.01,0.03,0.00,0.01,0.03,0.00,
50,59,0.52,53,0.57,61,0.50,0.5,0.02,0.07,0.00,0.02,0.07,0.00,
60,50,0.59,42,0.66,52,0.57,0.6,-0.01,0.06,-0.03,0.01,0.06,0.03,
70,41,0.66,30,0.75,39,0.68,0.7,-0.04,0.05,-0.02,0.04,0.05,0.02,
80,26,0.79,17,0.86,23,0.81,0.8,-0.01,0.06,0.01,0.01,0.06,0.01,
90,13,0.89,3,0.98,6,0.95,0.9,-0.01,0.08,0.05,0.01,0.08,0.05,
92,8,0.93,3,0.98,3,0.98,0.92,0.01,0.06,0.06,0.01,0.06,0.06,
95,3,0.98,0,1.00,0,1.00,0.95,0.03,0.05,0.05,0.03,0.05,0.05,
96,1,0.99,0,1.00,0,1.00,0.96,0.03,0.04,0.04,0.03,,,
97,0,1,0,1.00,0,1.00,0.97,0.03,0.03,0.03,0.03,,,
98,0,1,0,1.00,0,1.00,0.98,0.02,0.02,0.02,,,,
99,0,1,0,1.00,0,1.00,0.99,0.01,0.01,0.01,,,,
100,0,1,0,1.00,0,1.00,1,0,0.00,0.00,,,,
,,,,,,,,,,,0.02,0.05,0.02,#Average deviation from 1:1 until credible interval reaches 100%. After 100% the interval can no longer be quatntified
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
