Percent,# of outliers,Bootstrap (200) Coverage,1:1 in decimals,boot deviation from 1:1,Ab. Dev. Boot,
10,168,0.16,0.1,0.06,0.06,
20,157,0.215,0.2,0.02,0.02,
30,145,0.275,0.3,-0.03,0.03,
40,123,0.385,0.4,-0.02,0.02,
50,97,0.515,0.5,0.02,0.02,
60,91,0.545,0.6,-0.05,0.05,
70,63,0.685,0.7,-0.01,0.01,
80,45,0.775,0.8,-0.03,0.03,
90,21,0.895,0.9,-0.01,0.01,
92,18,0.91,0.92,-0.01,0.01,
95,10,0.95,0.95,0.00,0.00,
96,7,0.965,0.96,0.01,0.01,
97,6,0.97,0.97,0.00,0.00,
98,6,0.97,0.98,-0.01,0.01,
99,2,0.99,0.99,0.00,0.00,
100,0,1,1,0.00,0.00,
,,,,,0.02,#Average deviation from 1:1
