# % Confidence interval,# Homo Num. of outliers,# Homo % covered,# Hetero Num. of outliers,# Hetero % covered,# IID(200) Num. of outliers,IID(200),# IID(100) Num. of outliers,IID(100),# IID(50) Num. of outliers,IID(50),# IID(20) Num. of outliers,IID(20),# IID(5) Num. of outliers,IID(5),# IID(1) Num. of outliers,IID(1)
10,173,0.135,181,0.095,180,0.1,93,0.07,46,0.08,18,0.1,5,0,1,0
20,153,0.235,157,0.215,159,0.205,79,0.21,44,0.12,18,0.1,4,0.2,1,0
30,133,0.335,137,0.315,144,0.28,68,0.32,39,0.22,16,0.2,3,0.4,1,0
40,117,0.415,121,0.395,122,0.39,61,0.39,36,0.28,14,0.3,3,0.4,1,0
50,95,0.525,101,0.495,95,0.525,55,0.45,25,0.5,11,0.45,2,0.6,1,0
60,76,0.62,81,0.595,74,0.63,44,0.56,19,0.62,8,0.6,1,0.8,0,1
70,56,0.72,60,0.7,58,0.71,31,0.69,14,0.72,4,0.8,1,0.8,0,1
80,37,0.815,41,0.795,34,0.83,18,0.82,11,0.78,0,1,1,0.8,0,1
90,19,0.905,19,0.905,10,0.95,5,0.95,1,0.98,0,1,1,0.8,0,1
92,17,0.915,16,0.92,8,0.96,4,0.96,1,0.98,0,1,1,0.8,0,1
95,6,0.97,10,0.95,6,0.97,1,0.99,0,1,0,1,0,1,0,1
96,5,0.975,8,0.96,4,0.98,0,1,0,1,0,1,0,1,0,1
97,4,0.98,8,0.96,2,0.99,0,1,0,1,0,1,0,1,0,1
98,2,0.99,5,0.975,1,0.995,0,1,0,1,0,1,0,1,0,1
99,2,0.99,1,0.995,1,0.995,0,1,0,1,0,1,0,1,0,1
100,0,1,1,0.995,0,1,0,1,0,1,0,1,0,1,0,1
